,T-FAP_1_corr,T-FAP_1_qval
Agt,0.1238366776963918,1.0274074160778228e-13
Dennd4a,0.12360507605238201,1.1520528194786697e-13
Jph1,0.12357566191863344,1.1675762462008455e-13
Apbb2,0.12354014407221715,1.1876945152172346e-13
App,0.12350086319780147,1.2096352045779016e-13
Slc1a3,0.12285947557892772,1.6506895365232272e-13
Slc6a7,0.12273786733226212,1.749986991414546e-13
Dnajb4,0.122640134908133,1.834512610893755e-13
Ldb2,0.12261807737430111,1.8534818572919064e-13
Stim1,0.1225104071443417,1.949991304037046e-13
Coq10b,0.12232754066187997,2.1250775253306835e-13
Srgap3,0.12230084291624994,2.1519315493273532e-13
Gm17025,0.12225657368506881,2.191117537038772e-13
Fchsd2,0.12218885229265795,2.2627692929613918e-13
Mafk,0.1220141268022127,2.4493747938347495e-13
Aebp1,0.1219990983958682,2.464476870029922e-13
Acyp2,0.12143413057233973,3.221461061543556e-13
S100b,0.12119451232170707,3.6027611585666695e-13
Pdgfra,0.12109223083435888,3.783053294947409e-13
Pigz,0.12072744040075795,4.4960586269150915e-13
Jdp2,0.12071830743173693,4.5133495978692897e-13
Ptx3,0.12066962051980791,4.616111780065343e-13
Syp,0.12047631466711752,5.059550596688165e-13
Tshz2,0.12020631251836465,5.741234579100665e-13
Jam2,0.12012582285611179,5.962777501945967e-13
Fign,0.1200218918925018,6.259710029682169e-13
Pim3,0.11987707851140204,6.690400731725145e-13
Pid1,0.11979448187218926,6.950750627680314e-13
B130024G19Rik,0.11974663327767916,7.109280656645221e-13
Bmyc,0.11972368282121375,7.179960522165424e-13
Osr1,0.11949112289312516,8.019524783900736e-13
Snhg8,0.11946392819936658,8.109811635145802e-13
Fam49a,0.11946293336462119,8.109811635145802e-13
Tst,0.11931584721667883,8.690465915441598e-13
Myo1d,0.11889669456070047,1.0556709081353914e-12
Gns,0.1187255515733438,1.1440200050250782e-12
Slc16a2,0.11825577344019818,1.4223898688989122e-12
Ldhb,0.1181650356601317,1.4810076898522479e-12
Psap,0.11810531356268698,1.522038225234797e-12
Usp25,0.11809519476242564,1.5285041437928603e-12
Scarf2,0.11739432777174955,2.1110360663461576e-12
Ddx3x,0.11731583404679224,2.1872626482854412e-12
Adgrg6,0.11725023076348978,2.2458707483217758e-12
Mknk2,0.11715478600361606,2.3453208139918077e-12
Hid1,0.11700987985096473,2.5004970220134535e-12
Ar,0.11699557884096988,2.5145642538695208e-12
Arhgap10,0.11697641096641688,2.5345354261053197e-12
Col1a2,0.11693401416749892,2.5828593010535936e-12
Akr1c12,0.11689138019397448,2.633893077373046e-12
Arhgap36,0.11664191288892028,2.9560927796394038e-12
2410006H16Rik,0.1164860270419004,3.175836801709598e-12
Sntg1,0.1164545049138455,3.219620900876396e-12
Ncoa1,0.1162682892815337,3.4863602486275735e-12
Lrrn3,0.11613290803500667,3.706761118874264e-12
Cryzl2,0.11570551734580284,4.490200109380198e-12
