,TSPC_corr,TSPC_qval
Ttl,0.04703078615744467,0.011558872423422153
Itgam,0.04701018212105821,0.011602973668158443
Magee1,0.0470022901369404,0.011619431463679617
Cep83,0.046998806898249874,0.011625568515701115
Mcm6,0.04699288983803184,0.01163405274004769
Lypd2,0.0469925944023617,0.01163405274004769
Lima1,0.04697712462716719,0.011662263257949258
Tesc,0.04696828196929055,0.01168057149022521
4930447F24Rik,0.046964241216948574,0.01168648042631207
Spsb2,0.046963100890345215,0.011687130784744412
Mcm2,0.04695115050451618,0.011711233221093945
Cdc45,0.04694797646901467,0.011716686079288401
Rbm4,0.046938900510662004,0.011734046603100293
Opn3,0.04692368120419063,0.011763935005117647
Mrpl47,0.046903419055623195,0.01180998074751415
Cry1,0.04685952293439631,0.01190856810037152
Zfp180,0.04685763728541079,0.011911016163180197
Abhd14a,0.046842912690598475,0.011944271519549939
Dcaf15,0.04682629882192756,0.011982161424477576
Fkbp14,0.046810442285349835,0.012018330130245352
Cyp4f16,0.04680900076243586,0.012019725110683995
Gm49085,0.04680262662771049,0.012033044027030908
Mad2l1,0.0468016512309067,0.012033313627951452
AU041133,0.0467916266657195,0.012053787754649138
1700003E16Rik,0.046791441893159334,0.012053787754649138
Ogt,0.04679060039796787,0.012053787754649138
Snta1,0.04678533508874326,0.012064453093078511
Fam204a,0.04676307396760149,0.012113812109312463
Rps6kc1,0.046762418733392104,0.012113812109312463
Sox8,0.04675388212129327,0.012130389574158577
Hoxaas3,0.04675284804183987,0.012130805842627285
Gpn3,0.046703185623848405,0.012241716323650195
Katnal1,0.04669941008600783,0.01224887072767335
Ctcf,0.046685577628367364,0.012278650257581188
Naa38,0.04667518867807765,0.012301552572576355
Golga3,0.046674559065532036,0.012301552572576355
Zfp933,0.046668005540788926,0.01231346637127794
Kansl1,0.04666071048231595,0.012329355174746325
Setd7,0.04663581478548931,0.01238674186470218
Lysmd1,0.04662961180594442,0.012397859660866904
Trak2,0.046624691109906136,0.012407943393256049
2200002J24Rik,0.04660708352103429,0.012447479083938775
Slc44a5,0.04659745006101444,0.012469360713846404
Dis3l,0.04659116464074408,0.01248290712821814
Ndufc1,0.04658729028632325,0.012490436666569424
Azi2,0.04657700631678882,0.012509889626135985
Chpf2,0.046576929521625086,0.012509889626135985
Vamp4,0.04655736331068231,0.012554636789063895
Lmln,0.04653414331371001,0.012608738727811524
Fam114a2,0.04649871395982012,0.012696181205921354
Ankrd54,0.04648375989650583,0.012729791062141112
Dhx29,0.04644359432154301,0.012819075398223002
Ccdc60,0.04643210409498836,0.012846304617394113
Mcm7,0.046379593757409895,0.012977141428768402
Bmp2k,0.04637614483339778,0.012983836411049441
Zfp628,0.04636594161340484,0.013006441979772491
Gle1,0.046365695993687506,0.013006441979772491
Grk6,0.04635592764974452,0.013029555829241899
Dnajc5,0.04628967812146791,0.013193596179249348
Btbd3,0.046224291541132494,0.013357202054612428
Capn7,0.046218455191595974,0.01337041782526266
Fbxl7,0.046214277677756516,0.013379231851106958
Irgq,0.04620557398186278,0.01340010388036182
Ift57,0.046196490013898556,0.013422019646812935
Slc16a6,0.046171371741786454,0.013484845135734677
Vopp1,0.04617126404174404,0.013484845135734677
Nfkbil1,0.046169352509695186,0.013487653757123123
Gm37529,0.04616823631043259,0.01348833180078192
Casc1,0.04614592330198209,0.013541277997465967
Natd1,0.04612740410777449,0.013584176743054453
Sart1,0.04608549594354518,0.013690582395765866
Mtpap,0.04608365956444485,0.01369215999343751
Thumpd1,0.046083189158500196,0.01369215999343751
Micall1,0.0460656293172228,0.013728889652848443
Rbm6,0.04606536827806249,0.013728889652848443
Rpf2,0.04606238051977166,0.01373467685135106
Atxn3,0.04603951440343345,0.013792360582301497
Wdr35,0.046033356067148874,0.013806844618482684
Rmnd5a,0.04602394929648223,0.013830241538658375
Wdr53,0.04601796016531685,0.013843354636919285
Tmem267,0.04601248175068736,0.013854597510007555
Afg3l1,0.04600908579123459,0.01386155375483566
Tmem175,0.04599824693009955,0.013888972567724183
Il1a,0.04599692792644301,0.01389022998052033
Tmem69,0.04599278064309975,0.013898017768892656
Exd2,0.04598932785179992,0.013904031592999723
Nat2,0.045982180413150345,0.013921347691686337
Tmem222,0.045975135989967664,0.013938398918511815
Cenpu,0.04595415038142813,0.013989790794781323
Nenf,0.045916234947851416,0.014092173068609317
Xrn1,0.04589047256849026,0.014159305320236504
Ilrun,0.04588669726344718,0.014167461122118407
Oasl2,0.04587899028378383,0.014186639714455985
Toe1,0.045877727664123576,0.014187763648342034
Tufm,0.045874907329946354,0.014193256091725125
Ccdc173,0.04586511256972043,0.014218329632033391
Uhrf1,0.045858923514216575,0.014233301677473945
Prkd3,0.045855065622344045,0.014241728730925992
Tyro3,0.04584188120415091,0.014274004166342238
Ralgapa1,0.04583672993951888,0.014286101220915967
Hbb-bs,0.045829610554334696,0.014303764627809674
Mphosph10,0.04582489424794165,0.014314655225559029
Cdc73,0.04581120763062438,0.014348501436743214
Bco2,0.04580206475284413,0.014369530153978577
