source,target,ligand_complex,receptor_complex,rank_innervated,rank_denervated,delta_rank
Stromal_other,TSPC,Fn1,Sdc2,3.49507949189519e-06,6.313053251165524e-05,5.963545301976005e-05
Tenogenic-progenitor,TSPC,Fn1,Cd44,3.7457320333756193e-06,1.91228457040642e-05,1.537711367068858e-05
Stromal,Smooth_muscle,Col1a2,Cd44,3.7709272958787672e-06,2.157353307566082e-05,1.7802605779782053e-05
Macrophage,Stromal,Apoe,Sdc2,3.7778799233625098e-06,8.223048307270505e-05,7.845260314934254e-05
Smooth_muscle,TSPC,Col4a1,Cd44,4.178086377974761e-06,4.211757195668602e-05,3.7939485578711264e-05
Endothelial,Stromal,Vim,Cd44,4.212655236230552e-06,0.0001743448738260266,0.00017013221858979603
Tenocyte,Tenocyte,Sparc,Fgfr1,4.310092725107291e-06,3.4235922162245703e-06,-8.86500508882721e-07
Tenocyte,Macrophage,Col1a1,Cd93,4.4046605055646e-06,7.934693978680013e-07,-3.6111911076965985e-06
TSPC,T-FAP,Col1a2,Cd44,4.500599250083646e-06,9.845531688857539e-05,9.395471763849174e-05
Tenogenic-progenitor,Tenocyte,Sparc,Fgfr1,4.597918758914632e-06,4.70479488675057e-06,1.0687612783593776e-07
Stromal_other,Stromal,Sparc,Fgfr1,4.716787885186299e-06,2.7185425348201144e-05,2.2468637463014845e-05
Stromal_other,Stromal_other,Vim,Cd44,4.9061226467770965e-06,7.317487774708652e-05,6.826875510030942e-05
Tenocyte,Tenogenic-progenitor,Col1a1,Cd44,5.053206205293823e-06,6.571633757728842e-06,1.518427552435019e-06
Tenocyte,TSPC,Sparc,Fgfr1,5.158295034264742e-06,3.8576747846612276e-07,-4.772527555798619e-06
Tenogenic-progenitor,TSPC,Sparc,Fgfr1,5.318639646200861e-06,4.7516234403266e-07,-4.843477302168202e-06
T-FAP,Tenocyte,Sparc,Fgfr1,5.70560142455538e-06,5.8087093572747274e-06,1.0310793271934727e-07
Stromal_other,T-FAP,Col1a2,Cd44,5.799360506521834e-06,6.271595203732885e-05,5.691659153080702e-05
Smooth_muscle,Stromal_other,Vim,Cd44,5.842347193881303e-06,0.00015854188836195683,0.00015269954116807553
TSPC,Smooth_muscle,Fbn1,Itgb1,5.885545393387863e-06,4.80204527807427e-07,-5.405340865580436e-06
Macrophage,Macrophage,Apoe,Lrp1,6.104727107502784e-06,3.738409915177248e-05,3.12793720442697e-05
T-FAP,TSPC,Sparc,Fgfr1,6.534825479160818e-06,6.400398908307052e-07,-5.894785588330113e-06
TSPC,Smooth_muscle,Col1a1,Cd44,6.659455108909444e-06,4.6219258410434726e-05,3.955980330152528e-05
Tenogenic-progenitor,Macrophage,Col1a1,Cd93,6.722358658240297e-06,1.4627516916235859e-06,-5.259606966616712e-06
Tenocyte,Tenocyte,Col1a1,Cd44,6.9779262516454825e-06,2.2116975670174887e-05,1.5139049418529404e-05
Tenocyte,Macrophage,Vim,Cd44,7.0357485799041056e-06,8.272665151612719e-05,7.569090293622308e-05
Tenogenic-progenitor,Tenogenic-progenitor,Col1a1,Cd44,7.508291725380674e-06,1.1573019320653309e-05,4.064727595272635e-06
Stromal_other,Tenogenic-progenitor,Sparc,Fgfr1,7.897686035848334e-06,5.164694833942746e-05,4.374926230357913e-05
TSPC,Stromal,Fn1,Sdc2,8.056729994074904e-06,0.00010598914253813443,9.793241254405953e-05
Tenogenic-progenitor,Macrophage,Dcn,Tlr2,8.353087366060607e-06,7.4647883301367085e-06,-8.882990359238982e-07
Tenocyte,Macrophage,Col1a2,Cd93,8.42621008114005e-06,1.6992323316789012e-06,-6.726977749461149e-06
Stromal,Tenocyte,Sparc,Fgfr1,8.573730608833745e-06,9.254048967498964e-06,6.80318358665219e-07
Stromal_other,Stromal,Vim,Cd44,8.770558081704209e-06,0.00015287003679326396,0.00014409947871155975
Tenocyte,Smooth_muscle,Lgals1,Itgb1,8.94105134556776e-06,5.515243915896987e-06,-3.425807429670772e-06
Smooth_muscle,T-FAP,Sparc,Fgfr1,8.998368564306102e-06,6.107570798390342e-05,5.207733941959732e-05
TSPC,Tenocyte,Sparc,Fgfr1,9.103568973931291e-06,9.177518539806002e-06,7.394956587471097e-08
Tenocyte,Stromal_other,Fn1,Cd44,9.288623748819935e-06,1.652536126614049e-05,7.236737517320554e-06
