source,target,ligand_complex,receptor_complex,magnitude_rank_innervated,cellphone_pvals_innervated,cellchat_pvals_innervated,magnitude_rank_denervated,cellphone_pvals_denervated,cellchat_pvals_denervated,delta_rank
Stromal,T-FAP,Fn1,Cd44,0.00017183131974025953,0.0,0.0,0.000652102597403206,0.0,0.15,0.00048027127766294645
T-FAP,TSPC,Timp2,Itgb1,0.0001722391013451244,0.0,0.0,0.0001412231780140922,0.0,0.0,-3.10159233310322e-05
T-FAP,T-FAP,Fn1,Cd44,0.00017843301277214443,0.0,0.0,0.000724887228299665,0.0,0.17,0.0005464542155275206
Smooth_muscle,TSPC,Col6a3,Cd44,0.00018179597075686845,0.0,0.0,0.0005980358174247838,0.0,0.0,0.00041623984666791535
T-FAP,T-FAP,Dcn,Egfr,0.0001833927446698646,0.0,0.0,4.4671905676205845e-05,0.0,0.0,-0.00013872083899365878
Tenocyte,T-FAP,Lgals1,Itgb1,0.0001860583986156878,0.0,0.0,0.00020129551492291644,0.0,0.0,1.5237116307228636e-05
T-FAP,T-FAP,Vim,Cd44,0.00019478088683870306,1.0,0.98,0.0007578075208755233,1.0,1.0,0.0005630266340368202
Stromal_other,T-FAP,Fn1,Cd44,0.00019655727245421577,0.0,0.0,0.0006698233264869599,0.0,0.0,0.00047326605403274417
Tenogenic-progenitor,T-FAP,Vim,Cd44,0.00019744947674537423,1.0,0.98,0.0007103350144693291,1.0,0.98,0.0005128855377239549
Stromal,T-FAP,Fn1,Sdc2,0.0002001421825840524,0.0,0.0,0.0005366573463707939,0.0,0.0,0.00033651516378674145
Smooth_muscle,TSPC,Col4a1,Cd47,0.00020240460233936794,0.0,0.0,0.00025262797411183596,0.0,0.0,5.022337177246802e-05
Macrophage,T-FAP,Vim,Cd44,0.000205600365221416,1.0,0.9,0.0009434749488241803,1.0,0.97,0.0007378745836027643
Endothelial,TSPC,Col4a1,Cd44,0.00020882938443430834,0.0,0.0,0.00035842026761729104,0.0,0.0,0.0001495908831829827
TSPC,TSPC,Col6a2,Cd44,0.00021068953427438232,0.0,0.0,0.0006443271849169715,0.0,0.0,0.00043363765064258913
T-FAP,T-FAP,Fn1,Sdc2,0.0002130301170961031,0.0,0.0,0.000584317881068228,0.0,0.0,0.0003712877639721249
Tenocyte,TSPC,Col1a1,Itga5,0.00021702754203067559,0.0,0.0,0.0001411071846889814,0.0,0.0,-7.592035734169418e-05
T-FAP,TSPC,Serping1,Lrp1,0.00021823989976320408,0.0,0.0,7.386443919349537e-05,0.0,0.0,-0.0001443754605697087
Stromal,TSPC,Col6a2,Cd44,0.00022499170094867043,0.0,0.0,0.0004281716179324027,0.0,0.0,0.00020317991698373227
Tenocyte,TSPC,Col6a3,Cd44,0.00022743617919549755,0.0,0.0,0.00039018259590012757,0.0,0.0,0.00016274641670463002
Stromal_other,T-FAP,Lgals1,Itgb1,0.00022891127644044382,0.0,0.0,0.0003185970430804765,0.0,0.41,8.96857666400327e-05
TSPC,TSPC,Lgals1,Itgb1,0.0002358788915647071,0.0,0.0,0.0008062055068418043,0.44,0.53,0.0005703266152770972
Tenocyte,TSPC,Col1a2,Itgb3,0.00024408465313048211,0.0,0.0,0.0013149897819186747,0.0,0.0,0.0010709051287881926
Stromal_other,T-FAP,Fn1,Sdc2,0.0002502326318446772,0.0,0.0,0.0005444152415846076,0.0,0.0,0.0002941826097399304
Tenogenic-progenitor,TSPC,Lgals1,Itgb1,0.0002549662200086028,0.0,0.0,0.0002568196978216961,0.0,0.0,1.8534778130933015e-06
Tenogenic-progenitor,TSPC,Col1a2,Itgb3,0.0002609132303918339,0.0,0.0,0.0015083013693619797,0.0,0.0,0.0012473881389701458
Stromal,T-FAP,App,Rpsa,0.00026406850650932575,0.0,0.0,0.00031981385770883566,0.0,0.0,5.5745351199509906e-05
Tenocyte,T-FAP,Timp2,Itgb1,0.00026678600993983496,0.0,0.0,0.0002044499438990457,0.0,0.0,-6.233606604078926e-05
Tenogenic-progenitor,TSPC,Col1a1,Itga5,0.0002755100615601254,0.0,0.0,0.00019625406443763351,0.0,0.0,-7.925599712249189e-05
TSPC,TSPC,Col6a3,Cd44,0.00027728134948163833,0.0,0.0,0.0017054325509090092,0.0,0.0,0.0014281512014273708
Tenocyte,T-FAP,Thbs4,Cd47,0.00028121589277008905,0.0,0.0,0.00017150727205342213,0.0,0.0,-0.00010970862071666692
Stromal,TSPC,App,Rpsa,0.00028461763436069687,0.0,0.0,0.00036303811237110406,0.0,0.0,7.842047801040719e-05
Tenocyte,T-FAP,App,Rpsa,0.0002857575729490669,0.0,0.0,0.00029030537119448886,0.0,0.0,4.547798245421947e-06
Tenogenic-progenitor,TSPC,Col6a2,Cd44,0.000286900530367935,0.0,0.0,0.00042301991500777507,0.0,0.0,0.00013611938463984008
T-FAP,TSPC,Col1a2,Itgb3,0.00029450356689315443,0.0,0.0,0.0016375354029077545,0.0,0.0,0.0013430318360146002
Endothelial,T-FAP,Sparc,Fgfr1,0.0002967381019094458,0.0,0.0,0.00035514571681967617,0.09,0.0,5.8407614910230385e-05
Tenocyte,TSPC,Lum,Itgb1,0.0003050052964764212,0.0,0.0,0.0003077833403409939,0.0,0.0,2.7780438645726656e-06
Tenogenic-progenitor,T-FAP,Lum,Itgb1,0.0003134235479823695,0.0,0.0,0.0003874096971730544,0.0,0.0,7.398614919068488e-05
Stromal,T-FAP,Dcn,Egfr,0.0003143443742962779,0.0,0.0,8.642204237849456e-05,0.0,0.0,-0.00022792233191778333
Tenocyte,TSPC,App,Rpsa,0.00031463856396215763,0.0,0.0,0.00034033765388265534,0.0,0.0,2.569908992049771e-05
Macrophage,T-FAP,Psap,Lrp1,0.00031707794109068577,0.0,0.0,0.00017845231329613231,0.0,0.0,-0.00013862562779455345
Stromal,T-FAP,Lum,Itgb1,0.0003201447245908247,0.0,0.0,0.0004237533484528872,0.0,0.0,0.00010360862386206253
T-FAP,TSPC,Col1a1,Itga5,0.0003308391412692155,0.0,0.0,0.0002626581340646893,0.0,0.0,-6.81810072045262e-05
TSPC,TSPC,Timp1,Cd63,0.0003313476170006747,0.0,0.0,0.001382222310320599,0.0,0.0,0.0010508746933199243
Tenogenic-progenitor,TSPC,Col6a3,Cd44,0.0003357733978528495,0.0,0.0,0.00046228337314514447,0.0,0.0,0.00012650997529229497
Stromal,TSPC,Col1a2,Itgb3,0.00034703044837251394,0.0,0.0,0.001778853643189804,0.0,0.0,0.0014318231948172902
Tenocyte,TSPC,Thbs4,Cd47,0.0003486336657373027,0.0,0.0,0.00015892489327055576,0.0,0.0,-0.00018970877246674692
Stromal,TSPC,Col1a1,Itga5,0.00036284534422298246,0.0,0.0,0.00028149132260022494,0.0,0.0,-8.135402162275752e-05
Stromal_other,TSPC,Col1a1,Itga5,0.0003745589405327615,0.0,0.0,0.0002882129569781053,0.0,0.0,-8.634598355465622e-05
TSPC,T-FAP,App,Rpsa,0.00037737796688794046,0.0,0.13,0.0005806952221738257,0.16,0.87,0.0002033172552858852
TSPC,T-FAP,Dcn,Egfr,0.0003902505633337575,0.0,0.0,0.00011438341080675423,0.0,0.0,-0.00027586715252700324
T-FAP,T-FAP,App,Rpsa,0.00039126497775817927,0.0,0.05,0.000503883944332133,0.0,0.48,0.00011261896657395373
Stromal_other,T-FAP,App,Rpsa,0.0003926719819365105,0.0,0.1,0.000530674208394797,0.01,0.65,0.00013800222645828656
TSPC,TSPC,App,Rpsa,0.00039975722784869937,0.0,0.38,0.0006868489193590701,0.51,0.96,0.0002870916915103707
Stromal_other,TSPC,Col1a2,Itgb3,0.0004034948399404104,0.0,0.0,0.0020739792561543565,0.0,0.0,0.001670484416213946
